fotmob_id,tm_id,last_scraped
1251334,867688,2026-08-18
1254234,890719,2026-08-18
1258092,609556,2026-08-18
1276312,683620,2026-08-18
1280132,466805,2026-08-18
1285866,876631,2026-08-18
1287010,903611,2026-08-18
1288111,801734,2026-08-18
1288450,701057,2026-08-18
1292810,820374,2026-08-18
1292833,866655,2026-08-18
1296650,744149,2026-08-18
1296763,922769,2026-08-18
1296769,933017,2026-08-18
1298907,646750,2026-08-18
1300526,743413,2026-08-18
1302005,739443,2026-08-18
1318400,88755,2026-08-18
1321562,660860,2026-08-18
1323305,922693,2026-08-18
1324871,719673,2026-08-18
1327319,947411,2026-08-18
1336751,747009,2026-08-18
1341387,743498,2026-08-18
1341475,725912,2026-08-18
1346113,982097,2026-08-18
1352713,973085,2026-08-18
1354561,996897,2026-08-18
1356312,880245,2026-08-18
1358581,923831,2026-08-18
1358655,1009658,2026-08-18
1359649,727089,2026-08-18
1362998,763079,2026-08-18
1368654,743384,2026-08-18
1372921,743600,2026-08-18
1386775,866246,2026-08-18
1391209,984096,2026-08-18
1398392,937941,2026-08-18
1400216,1004708,2026-08-18
1400227,1012534,2026-08-18
1406436,890721,2026-08-18
1412137,938158,2026-08-18
1413846,904802,2026-08-18
1413853,1011936,2026-08-18
1422593,1011131,2026-08-18
1423616,950091,2026-08-18
1424875,936874,2026-08-18
1426170,910905,2026-08-18
1428401,967319,2026-08-18
1429912,823486,2026-08-18
1431275,985546,2026-08-18
1436258,1045123,2026-08-18
1436260,926309,2026-08-18
1443841,1071818,2026-08-18
1449690,998101,2026-08-18
1458711,1005649,2026-08-18
1460534,16232,2026-08-18
1463282,1047280,2026-08-18
1478295,607223,2026-08-18
1526560,926952,2026-08-18
1526697,914269,2026-08-18
1531854,999743,2026-08-18
1532672,1069512,2026-08-18
1559637,1107733,2026-08-18
1559639,1078163,2026-08-18
1561249,1060087,2026-08-18
1575707,1011140,2026-08-18
1580774,1056993,2026-08-18
1597668,1108466,2026-08-18
1607328,1085591,2026-08-18
1607333,1023191,2026-08-18
1622290,708072,2026-08-18
1635773,1187629,2026-08-18
1636513,8564,2026-08-18
1639163,1202361,2026-08-18
1656860,1005583,2026-08-18
1664722,1006411,2026-08-18
1666977,989112,2026-08-18
1676985,1049911,2026-08-18
1690655,1322090,2026-08-18
1693398,1196272,2026-08-18
1700817,1348941,2026-08-18
