Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
WHU,Todibo,D,4.5,1.54,1.63,1.66,2.18,1.03,2.41,2.11,2.26,2.42,1.69,2.85,21.78,3920508,4.5
SUN,Hume,D,4.5,2.36,1.17,1.12,2.17,1.84,3.05,1.57,1.95,1.95,2.23,2.32,21.74,4293451,4.5
LIV,Kerkez,D,6.0,2.06,2.58,2.02,1.94,1.78,2.36,2.21,1.68,0.93,2.66,1.5,21.72,3628155,6.0
ARS,Madueke,M,6.5,1.99,2.33,1.9,2.36,1.78,1.95,2.03,1.71,1.66,1.91,2.06,21.69,2882403,6.5
EVE,Alcaraz,M,5.0,1.54,2.19,2.54,1.11,2.04,2.81,2.33,1.94,2.07,1.32,1.62,21.48,2853885,5.0
BRE,Lewis-Potter,D,5.0,2.17,0.66,1.39,2.04,2.87,2.3,2.82,1.72,2.66,0.97,1.83,21.42,1814996,5.0
BOU,Brooks,M,5.0,3.05,2.45,2.14,1.82,2.75,1.79,1.34,1.17,2.02,1.42,1.43,21.38,230752,5.0
BHA,Gruda,M,5.0,1.61,2.18,2.94,1.61,2.6,1.06,2.06,2.58,1.25,1.87,1.61,21.38,3923371,5.0
BUR,Hartman,D,4.5,1.89,2.17,1.57,2.47,1.65,2.51,1.95,1.6,2.09,1.04,2.32,21.25,4293399,4.5
MUN,Dorgu,D,4.5,1.17,1.76,1.63,1.32,2.35,2.46,3.46,2.33,2.93,1.22,0.55,21.18,4072114,4.5
BUR,Ugochukwu,M,4.5,1.87,1.93,1.74,1.98,1.94,2.14,2.01,1.9,2.04,1.62,1.95,21.1,3631216,4.5
WOL,Munetsi,M,5.0,3.13,3.51,3.51,2.59,0.0,0.0,0.0,1.82,1.25,2.5,2.72,21.01,4070205,5.0
TOT,Richarlison,F,7.1,2.73,1.95,2.23,1.74,1.47,1.27,1.66,2.46,1.26,2.11,2.09,20.99,45474,7.1
LEE,Aaronson,M,5.5,2.15,2.25,2.1,2.03,2.18,2.15,1.46,1.92,1.45,1.73,1.55,20.96,4293431,5.5
SUN,Ballard,D,4.1,2.24,1.09,1.06,2.02,1.76,2.97,1.5,1.96,1.92,2.14,2.3,20.94,4293444,4.1
ARS,Havertz,F,8.0,0.0,0.0,1.79,2.53,1.85,2.26,2.62,2.35,2.27,2.48,2.74,20.89,182529,8.0
SUN,Alderete,D,4.0,2.22,1.09,1.04,2.06,1.72,2.93,1.49,1.91,1.86,2.16,2.27,20.75,4352111,4.0
SUN,Geertruida,D,4.5,2.0,1.06,1.02,2.0,1.84,3.02,1.61,1.9,1.86,2.12,2.19,20.64,4386947,4.5
LIV,Chiesa,M,5.5,1.93,2.53,1.82,1.74,1.94,2.42,2.37,1.54,0.49,2.52,1.27,20.55,3946281,5.5
ARS,Martinelli,M,7.5,1.36,2.18,1.71,2.35,1.73,1.94,2.0,1.62,1.53,1.84,2.05,20.3,140008,7.5
TOT,Kulusevski,M,6.5,0.0,0.0,0.0,0.0,1.0,2.64,2.97,3.78,2.82,3.51,3.44,20.16,291491,6.5
MCI,Bobb,M,5.5,1.95,1.38,2.23,1.21,2.33,1.81,2.27,1.59,1.79,1.53,2.05,20.14,3652667,5.5
BOU,Kluivert,M,6.5,0.0,0.0,0.0,1.18,2.91,2.93,2.4,2.2,3.24,2.66,2.59,20.12,3584408,6.5
