fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
231480,WOL,S.Bueno,D,7.1,0.0,0.71,0.0,1.13,0.0,0.0,0.0,1.14,0.75,0.0,0.0,2.64,0.0,0.0,0.0,1.34,0.0,1.99,0.0,2.54,0.0,0.0,2.06,0.0,0.0,1.43,0.0,0.76,0.0,0.0,16.49,2.32
516939,WOL,Agbadou,D,6.8,0.0,2.45,0.0,3.42,0.0,0.0,0.0,2.69,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0,1.23,0.0,0.0,2.23,0.0,1.4,0.0,0.0,16.43,2.42
206915,LIV,C.Jones,M,7.3,0.0,1.7,0.0,2.24,0.0,1.79,0.0,0.0,1.51,0.0,0.0,1.4,0.0,0.0,0.0,1.45,0.0,0.0,1.39,0.0,1.19,0.0,0.0,0.94,1.38,0.0,0.0,1.08,0.0,0.0,16.07,2.2
195384,ARS,Merino,M,8.6,0.0,3.16,0.0,3.1,0.0,1.82,0.0,0.0,1.25,0.0,0.0,0.96,0.0,0.0,0.0,0.98,0.0,1.01,0.0,0.96,0.0,0.0,0.0,0.88,0.94,0.0,0.0,0.0,1.0,0.0,16.06,1.87
155408,BOU,Cook,M,7.9,1.32,0.0,1.95,0.0,0.0,1.84,0.0,0.0,0.0,0.0,1.81,2.04,0.0,0.0,0.0,1.4,0.0,1.19,0.0,1.12,0.0,0.0,1.12,0.0,0.0,0.0,1.08,1.05,0.0,0.0,15.92,2.02
179458,BUR,Bruun Larsen,M,6.9,1.26,0.0,0.0,1.28,0.0,1.33,0.0,0.0,1.38,0.0,0.0,1.58,0.0,0.0,0.0,1.74,0.0,1.64,0.0,1.37,0.0,0.0,1.48,0.0,1.32,0.0,0.0,1.52,0.0,0.0,15.9,2.31
441302,AVL,Maatsen,D,6.9,0.0,1.66,0.0,1.24,0.0,1.19,0.0,0.0,0.0,1.62,0.0,0.0,1.69,0.0,0.0,1.16,0.0,1.1,0.0,1.71,0.0,0.0,1.25,0.0,0.0,1.81,0.0,0.0,1.31,0.0,15.71,2.28
206325,NFO,Zinchenko,D,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,2.5,0.0,2.17,0.0,3.34,0.0,2.12,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,15.13,2.1
219847,ARS,Havertz,F,10.7,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.88,0.0,0.0,1.14,0.0,0.0,0.0,1.71,0.0,2.2,0.0,2.08,0.0,0.0,0.0,2.0,2.12,0.0,0.0,0.0,2.33,0.0,15.03,1.41
448514,MCI,Aït-Nouri,D,8.3,1.88,0.0,2.1,0.0,0.0,2.96,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,1.17,0.0,1.39,0.0,0.0,2.61,0.0,0.0,15.01,1.81
110504,SUN,Traoré,M,6.3,2.6,0.0,0.0,2.26,0.0,2.12,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.08,0.0,1.51,0.0,0.0,1.99,0.0,0.0,14.87,2.36
