fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
219924,FUL,Diop,D,4.3,0.0,0.39,0.67,0.82,3.09,2.72,2.24,1.13,1.23,0.96,0.67,13.93,3.24
206325,NFO,Zinchenko,D,4.9,0.0,0.0,0.0,0.87,2.34,2.03,3.02,1.94,2.37,0.0,1.32,13.9,2.84
54469,BOU,Smith,D,4.4,1.55,1.65,1.17,1.14,2.01,1.19,0.91,1.0,1.23,1.08,0.96,13.89,3.16
448514,MCI,Aït-Nouri,D,5.7,1.74,1.98,2.78,1.73,0.0,0.0,0.0,0.9,1.05,1.24,2.47,13.89,2.44
577669,SUN,Sadiki,M,5.0,2.76,1.97,1.84,1.92,0.0,0.0,0.0,0.95,1.0,1.33,2.09,13.86,2.77
180804,BUR,Tuanzebe,D,3.9,2.1,2.28,1.74,2.56,0.0,0.0,0.0,0.76,0.87,1.2,2.27,13.77,3.53
434399,SUN,Reinildo,D,4.0,2.5,1.45,1.29,2.16,0.0,0.0,0.0,0.96,0.97,1.94,2.43,13.7,3.43
477555,MCI,Bobb,M,5.3,0.97,0.86,1.19,0.85,1.74,1.4,1.68,1.27,1.26,1.13,1.22,13.56,2.56
219847,ARS,Havertz,F,7.3,0.0,0.0,0.47,0.72,0.93,1.51,2.04,1.85,1.84,1.87,2.22,13.44,1.84
449434,NEW,Elanga,M,6.6,0.96,1.44,1.5,1.24,1.17,1.22,1.36,1.09,1.22,1.1,1.1,13.39,2.03
438234,MCI,Marmoush,M,8.3,1.72,1.56,2.23,1.77,0.0,0.0,0.0,0.94,1.08,1.46,2.46,13.21,1.59
472713,BRE,Hickey,D,4.0,1.13,0.76,1.02,1.5,1.24,1.25,1.28,1.22,1.58,0.87,1.34,13.19,3.3
110504,SUN,Traoré,M,5.5,2.42,1.96,1.84,2.01,0.0,0.0,0.0,0.92,0.89,1.36,1.76,13.17,2.39
449871,AVL,Onana,M,4.8,1.04,1.0,1.02,1.31,1.44,1.22,1.16,1.35,1.2,1.23,1.11,13.09,2.73
492859,LEE,Gnonto,M,5.2,0.82,1.05,1.24,1.24,1.34,1.35,1.03,1.43,1.12,1.27,1.17,13.07,2.51
496661,EVE,Dibling,M,5.4,0.78,1.07,1.26,0.82,1.74,1.89,1.54,1.17,1.25,0.84,0.72,13.06,2.42
551483,BOU,A.Jimenez,D,4.5,1.56,1.31,1.05,1.06,1.58,1.14,0.93,0.95,1.39,0.99,1.03,13.0,2.89
486520,LEE,Gruev,M,4.8,2.08,2.03,1.91,1.22,1.29,1.05,0.73,0.76,0.57,0.65,0.65,12.93,2.69
500040,ARS,Mosquera,D,5.4,0.83,1.87,1.76,2.13,1.35,0.92,0.81,0.76,0.71,0.87,0.8,12.81,2.37
513466,EVE,Röhl,M,5.0,0.0,0.0,0.0,0.0,0.73,2.32,2.3,2.25,2.32,1.37,1.48,12.77,2.55
209289,FUL,Smith Rowe,M,5.6,0.72,0.81,0.89,1.1,1.67,1.63,1.41,1.18,1.15,1.19,0.95,12.7,2.27
441271,WOL,Hoever,D,3.9,0.8,0.96,0.78,0.57,2.26,1.36,1.71,1.47,1.15,0.97,0.57,12.59,3.23
